address,city,latitude,longitude,name,postalCode,province,reviews.date,reviews.rating,reviews.text,reviews.title,reviews.userCity,reviews.userProvince,emotion
5921 Valencia Cir,Rancho Santa Fe,32.990959,-117.186136,Rancho Valencia Resort Spa,92067,CA,2013-11-14T00:00:00Z,5.0,Our experience at Rancho Valencia was absolutely perfect from beginning to end!!!! We felt special and very happy during our stayed. I would come back in a heart beat!!!,Best romantic vacation ever!!!!,,,joy
5921 Valencia Cir,Rancho Santa Fe,32.990959,-117.186136,Rancho Valencia Resort Spa,92067,CA,2014-07-06T00:00:00Z,5.0,Amazing place. Everyone was extremely warm and welcoming. We've stayed at some top notch places and this is definitely in our top 2. Great for a romantic getaway or take the kids along as we did. Had a couple stuffed animals waiting for our girls upon arrival. Can't wait to go back.,Sweet sweet serenity,,,joy
5921 Valencia Cir,Rancho Santa Fe,32.990959,-117.186136,Rancho Valencia Resort Spa,92067,CA,2015-01-02T00:00:00Z,5.0,"We booked a 3 night stay at Rancho Valencia to play some tennis, since it is one of the highest rated tennis resorts in America. This place is really over the top from a luxury standpoint and overall experience. The villas are really perfect, the staff is great, attention to details (includes fresh squeezed orange juice each morning), restaurants, bar and room service amazing, and the tennis program was really impressive as well. We will want to come back here again.",Amazing Property and Experience,,,joy
7520 Teague Rd,Hanover,39.155929,-76.716341,Aloft Arundel Mills,21076,MD,2016-05-15T00:00:00Z,2.0,Currently in bed writing this for the past hr 1/2 there have been dogs barking and squealing call the front desk to advise basically to be told there's nothing they can do. 315.00 and I can't sleep.,"Never again...beware, if you want sleep.",Richmond,VA,anger
7520 Teague Rd,Hanover,39.155929,-76.716341,Aloft Arundel Mills,21076,MD,2016-07-09T00:00:00Z,5.0,I live in Md and the Aloft is my Home away from home...we stayed 1 night 7-7-16 ...Staff is great ! Especially Olivia who was Extra special because she remembered me by my voice over the phone ...which tells me she is very alert and pays attention to the customer their needs.AND SHE DID ! Thumbs up... More,ALWAYS GREAT STAY...,Laurel,MD,joy
7520 Teague Rd,Hanover,39.155929,-76.716341,Aloft Arundel Mills,21076,MD,2016-06-11T00:00:00Z,5.0,"I stayed here with my family for my daughters wedding. It had a very accommodating staff, Olivia was excellent. The rooms were very well maintained. Would highly recommend this hotel, especially if your wedding venue is Celebrations at the Bay!",Wonderful stay,Laurel,MD,joy
7520 Teague Rd,Hanover,39.155929,-76.716341,Aloft Arundel Mills,21076,MD,2016-04-30T00:00:00Z,5.0,"Beautiful rooms and the nicest people working there. The front desk lady, Olivia, was extremely patient and helpful. We had lots of questions and she had just as many answers. The rooms were sleek and modern. The only thing that would make this hotel better would be free breakfast, but I really am asking for a lot. A++ stay. Thank... More",Worth the money,,,joy
7520 Teague Rd,Hanover,39.155929,-76.716341,Aloft Arundel Mills,21076,MD,2016-06-24T00:00:00Z,5.0,"We stayed here while visiting Maryland Live!. Cute hotel in a great location. Clean, with a very modern look, upgraded bathrooms and amenities and super nice staff. Would definitely recommend and stay there again!",Great Hotel Experiece!,Clayton,NC,joy
7520 Teague Rd,Hanover,39.155929,-76.716341,Aloft Arundel Mills,21076,MD,2016-05-29T00:00:00Z,5.0,"I travel a lot with my job, so I'm constantly staying at hotels. When my co-workers and I arrived late last night at the Aloft the people at the front desk were more than welcoming. When I wanted to order room service I was told it was too late however, Olivia at the front desk informed me of a Italian... More",Short stay for business.,Boston,MA,neutral
315 SE Olympia Dr,Vancouver,45.619212,-122.525196,Hampton Inn Suites PortlandVancouver,98684,WA,2016-01-26T00:00:00Z,5.0,"In my line of work, I use meeting space in hotels often. In my 15+ years of doing this work, this is the first time I've felt the undeniable pull to go out and write a hotel review, based solely on my meeting room experience. Though I did not use a guest room here, my colleagues who did shared that... More",Amazing employees and facilities,Portland,,surprise
